length,width,contrast,dissimilarity,homogenity,energy,correlation,ASM,R,G,B,H,S,V,grey,l,A,V,roundness,solidity,sf1,sf2,sf3,Area,category
1.035316803,0.299368714,150.0055006,5.997817738,0.386840619,0.131595816,0.885411681,0.017646536,145,113,125,110,72,147,124.7454825,130,143,125,1.779018436,0.000137733,4.625740327,1.337563468,0.91990437,0.223816455,121
1.01036941,0.249473928,162.1033585,6.008034533,0.409822877,0.13724021,0.88056896,0.019129884,145,115,121,122,64,147,126.7956555,132,143,121,1.991820773,0.00013818,5.923039203,1.462478816,0.862105807,0.170582935,121
1.046709786,0.271306252,162.3524904,6.124097544,0.406719192,0.151628019,0.864822191,0.023377211,146,115,122,120,65,148,127.1013725,132,143,122,1.988884856,0.000136872,5.539575231,1.435853006,0.847606107,0.188951272,121
0.972935909,0.311838432,97.01915488,4.92648864,0.376043614,0.107815971,0.920390956,0.011806167,147,116,124,111,70,150,127.4356863,133,143,124,1.620926219,0.000144481,4.441945051,1.423700337,0.919660477,0.219033756,121
0.984400989,0.299058528,144.9521464,5.66941356,0.404921003,0.124691069,0.883615792,0.01585836,144,114,123,115,70,147,125.5240292,131,143,123,1.840116183,0.000140652,4.863682559,1.477574448,0.875808044,0.202398281,121
0.913837568,0.300822082,136.1075696,5.568449504,0.41300602,0.158170331,0.900645954,0.025336524,146,114,123,117,71,148,126.1027451,131,144,123,1.704663142,0.000138427,4.820451407,1.586822732,0.87848211,0.189575102,121
1.08175305,0.270586275,170.027368,6.51056959,0.395246994,0.13928261,0.87047655,0.019663512,145,114,124,117,70,148,125.7466667,131,143,124,1.919639363,0.000148507,5.014926493,1.254417797,0.938771741,0.215706661,121
1.103890779,0.298548097,170.8214465,6.44146911,0.387827019,0.137712451,0.896995085,0.019224863,141,110,123,112,70,144,121.7903922,127,143,123,1.94382888,0.00013972,4.783968838,1.293827996,0.891923678,0.230747903,121
0.982736905,0.287382932,135.7678249,5.58742174,0.402655165,0.139610379,0.890003902,0.019792738,146,115,123,116,68,149,126.9370588,132,143,123,1.839694824,0.000139025,5.045532144,1.475471019,0.878541729,0.194773688,121
0.946050481,0.261408685,149.0863714,5.973560313,0.37943415,0.116787349,0.902160927,0.013911581,142,114,120,123,64,146,125.2096078,131,143,120,1.843422618,0.00013958,5.812891944,1.606193827,0.838335931,0.162750399,121
0.931167298,0.290325916,51.53304735,3.454767354,0.45645572,0.162697966,0.938780248,0.026754848,147,118,121,117,64,151,129.4254133,135,143,121,1.823248295,0.00013987,5.675517789,1.769553015,0.77310601,0.164067374,121
1.08650856,0.297085935,122.5496445,5.5262839,0.384419301,0.125066624,0.920773817,0.015832217,141,110,124,110,74,144,121.3267974,127,143,124,1.936311326,0.000141178,4.79652968,1.311523494,0.893966236,0.22651972,121
0.995821555,0.311194236,96.66103094,4.65037234,0.439931296,0.158497948,0.92466693,0.025358001,144,113,124,114,72,147,124.922722,130,143,124,1.783196982,0.000142916,4.842169724,1.513178039,0.84539328,0.205656062,121
0.972714007,0.289337416,129.6121689,5.522222728,0.395670334,0.124492675,0.905086325,0.01574436,142,112,123,116,71,146,123.6084198,129,143,123,1.78317981,0.000140605,4.930901257,1.466715004,0.892893042,0.197269009,121
1.096199147,0.264599797,152.9670476,6.062470052,0.38722884,0.130431811,0.882437832,0.017223519,142,114,121,118,64,146,125.0841984,131,143,121,2.200931685,0.000138877,5.646149625,1.362863715,0.852684668,0.194149858,121
1.157622932,0.286293843,150.5529753,6.220254009,0.371537683,0.120654794,0.899114469,0.014763088,141,111,124,113,71,144,122.4554018,128,143,124,2.056807884,0.000139913,5.285134823,1.307076354,0.841903401,0.219033756,121
1.042456046,0.317297544,172.5402046,6.527265379,0.358506628,0.104437898,0.889543129,0.011235769,144,112,124,111,72,146,124.0280661,129,144,124,1.8307021,0.000136712,4.68666668,1.426504104,0.856642398,0.222430166,121
